type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
keywords,0.1,2,100.0,12,1135,1992-6
keywords,0.1,2,100.0,11,51,1992-7
keywords,0.1,2,100.0,11,1127,1992-8
keywords,0.1,2,100.0,40,1358,1992-9
keywords,0.1,2,0.0,0,0,1992-10
keywords,0.1,2,100.0,40,1527,1992-11
keywords,0.1,2,100.0,40,805,1992-12
keywords,0.1,2,0.0,22075,0,1992-13
keywords,0.1,2,100.0,39,789,1992-14
keywords,0.1,2,100.0,11,1591,1992-15
keywords,0.1,2,0.0,316,1872,1993-1
keywords,0.1,2,100.0,40,1549,1993-2
keywords,0.1,2,0.0,1,0,1993-4
keywords,0.1,2,0.0,0,0,1993-5
keywords,0.1,2,100.0,75,1398,1993-6
keywords,0.1,2,100.0,11,1557,1993-7
keywords,0.1,2,100.0,11,1041,1993-8
keywords,0.1,2,100.0,40,2355,1993-9
keywords,0.1,2,0.0,0,0,1993-10
keywords,0.1,2,0.0,4304,2690,1993-11
keywords,0.1,2,100.0,5287,1157,1993-12
keywords,0.1,2,0.0,4007,0,1993-13
keywords,0.1,2,0.0,9888,0,1993-14
keywords,0.1,2,0.0,0,0,1993-15
keywords,0.1,2,0.0,11,566,1994-1
keywords,0.1,2,100.0,40,1852,1994-2
keywords,0.1,2,100.0,40,1232,1994-8
keywords,0.1,2,0.0,0,0,1994-9
keywords,0.1,2,100.0,10,1729,1994-10
keywords,0.1,2,0.0,0,0,1994-11
keywords,0.1,2,0.0,0,0,1994-12
keywords,0.1,2,0.0,65,2352,1994-14
keywords,0.1,2,0.0,0,0,1994-15
keywords,0.1,2,0.0,11,1306,1995-1
keywords,0.1,2,0.0,0,0,1995-2
keywords,0.1,2,0.0,11,2370,1995-3
keywords,0.1,2,0.0,40,1504,1995-4
keywords,0.1,2,100.0,11,1057,1995-5
keywords,0.1,2,100.0,40,1169,1995-6
keywords,0.1,2,100.0,39,1599,1995-8
keywords,0.1,2,0.0,0,0,1995-9
keywords,0.1,2,100.0,2684,1639,1995-10
keywords,0.1,2,0.0,0,0,1995-11
keywords,0.1,2,0.0,0,0,1995-12
keywords,0.1,2,100.0,40,1431,1995-13
keywords,0.1,2,0.0,41,1636,1995-14
keywords,0.1,2,100.0,41,2349,1995-15
keywords,0.1,2,100.0,41,1397,1996-2
keywords,0.1,2,100.0,81,1156,1996-3
keywords,0.1,2,0.0,10,1906,1996-4
keywords,0.1,2,100.0,39,754,1996-5
keywords,0.1,2,100.0,39,1833,1996-6
keywords,0.1,2,100.0,10,985,1996-7
keywords,0.1,2,0.0,1,0,1996-8
keywords,0.1,2,0.0,0,0,1996-9
keywords,0.1,2,0.0,0,0,1996-10
keywords,0.1,2,100.0,41,1922,1996-11
keywords,0.1,2,100.0,39,1355,1996-12
keywords,0.1,2,0.0,0,0,1996-13
keywords,0.1,2,100.0,40,897,1996-14
keywords,0.1,2,0.0,40,1447,1996-15
keywords,0.1,2,100.0,41,1169,1997-1
keywords,0.1,2,100.0,2552,1454,1997-2
keywords,0.1,2,100.0,103,1248,1997-3
keywords,0.1,2,0.0,0,0,1997-4
keywords,0.1,2,100.0,3560,1237,1997-5
keywords,0.1,2,0.0,11998,0,1997-6
keywords,0.1,2,100.0,40,1663,1997-7
keywords,0.1,2,100.0,69,1184,1997-8
keywords,0.1,2,100.0,40,1627,1997-9
keywords,0.1,2,0.0,0,0,1997-10
